,municipality,latitude,longitude
144,Pyhäjärvi,63.65989833313641,25.92307219528797
145,Kuivaniemi,65.65236591105332,25.700307259638056
146,Pudasjärvi,65.31863788540394,27.06337966464864
147,Rautjärvi,61.37568980408813,29.215258615627903
148,Yli-Ii,65.39404737843753,25.954602617110332
149,Ylikiiminki,65.05218703221945,26.318112429071196
150,Hailuoto,65.0248288319797,24.76034136340588
151,Salo,60.38389096693318,23.15202214052295
152,Haukipudas,65.19464881524662,25.590828793864286
153,Liminka,64.64841924975937,25.695582124852262
154,Uukuniemi,61.77435942633345,29.936956470269134
155,Lumijoki,64.83191799266694,25.12415429413281
156,Oulu,64.99323495194287,25.67960976552527
157,Muhos,64.7675703677847,26.143557574933084
158,Piippola,64.14918832427598,26.02556550281677
159,Oulunsalo,64.94964816782812,25.320817303549635
160,Temmes,64.67065193424041,25.622868600984066
161,Pulkkila,64.28705900195042,25.79861511679821
162,Tyrnävä,64.72324022101687,25.847960445505166
163,Pattijoki,64.61603299706557,24.70462129769754
164,Pyhäjoki,64.41866525924245,24.412564446675148
165,Alavieska,64.18045076607264,24.33440731415809
166,Raahe,64.57292160208736,24.53221824663112
167,Ruukki,64.60901995525315,25.139883000784927
168,Siikajoki,64.79166733802855,24.80111254786677
169,Vihanti,64.42994209996287,25.098742437261336
170,Haapavesi,64.13464852414353,25.36361857758087
171,Kestilä,64.32039481478465,26.34672796407544
172,Pyhäntä,64.06988139917522,26.476732037999643
173,Rantsila,64.45703620246046,25.691252505680225
174,Kalajoki,64.18793092956635,24.041098816860767
175,Oulainen,64.254197445581,24.878752977955877
176,Sievi,63.84057844084838,24.5953888264289
177,Ruotsinpyhtää,60.524955169563846,26.44042969065575
178,Sipoo,60.346859070517695,25.281063533670327
179,Miehikkälä,60.709646212038734,27.664741728420456
180,Anjalankoski,60.774806787670585,26.97763081002645
181,Pyhtää,60.50221658893174,26.64319298712998
182,Veckelaaa,60.65674955482268,27.24856316122586
183,Virolahti,60.56647272227274,27.598974159042207
184,Iitti,60.93577188968723,26.282361910819194
185,Jaala,61.13160937904847,26.497997667873804
186,Kouvola,60.86961527076088,26.72425377475789
187,Valkeala,61.037709571977075,26.90062124323214
188,Artjärvi,60.761109308188544,26.07574653910486
189,Orimattila,60.81290861180658,25.74299416632134
190,Imatra,61.1865421643136,28.838980046391193
191,Parikkala,61.56602179282844,29.491478851616655
192,Ruokolahti,61.38292456956119,28.762617821636507
193,Saari,61.68499367178484,29.716290438064238
194,Joutseno,61.14296788250135,28.54628622363423
195,Lappeenranta,60.98355422147473,28.234356184047474
196,Luumäki,60.939579302867,27.529071551392356
197,Savitaipale,61.184417274161625,27.565922938300186
198,Suomenniemi,61.33241364005635,27.368680911041693
199,Taipalsaari,61.23225699812441,28.094417133191328
200,Ylämaa,60.79266922435507,27.99735619597522
201,Hanko,59.97404179861799,23.286554970753343
202,Inkoo,60.05327878686846,23.992794541760798
203,Karjaa,60.108519436394246,23.753466416698892
204,Vantaa,60.312067134775965,24.954333486762234
205,Pohja,60.10484078448192,23.505257763842668
206,Mäntsälä,60.66106033143736,25.281221942012625
207,Espoo,60.24037119281511,24.66955957354978
208,Nurmijärvi,60.46171267462692,24.758396677845614
209,Helsinki,60.21832906248892,24.996122282906768
210,Siuntio,60.17598520422352,24.214149418961835
211,Tuusula,60.45322464344901,25.004844088358976
212,Karjalohja,60.23878003929331,23.730774446896554
213,Lojo kommun,60.26523780866311,24.041097646239248
214,Nummi-Pusula,60.47043731122522,23.96792296683956
215,Sammatti,60.33332492094811,23.821786558765698
216,Vihti,60.40836425851743,24.39852257850968
217,Äänekoski,62.72322214891204,25.751070799724275
218,Konnevesi,62.657438637076275,26.313412980797878
219,Sumiainen,62.685013697747685,26.013622320653816
220,Suolahti,62.57657759179169,25.873911924731104
221,Jämsä,61.86974607710386,25.220941872245454
222,Jämsänkoski,62.07912689181903,25.087635287607466
223,Korpilahti,62.01353379656884,25.586154776097505
224,Kuhmoinen,61.6111690710959,25.1845249807898
225,Jyväskylän mlk,62.28242593871211,25.72342224888535
226,Uurainen,62.4717892456041,25.41347324057754
227,Laukaa,62.39044106974097,26.008695415115753
228,Muurame,62.140315562407494,25.620300172139597
229,Pirkkala,61.434488333237304,23.61037927542077
230,Keuruu,62.29210864435936,24.538208416380247
231,Pylkönmäki,62.66999846784109,24.76591313811448
232,Multia,62.47733055183625,24.864793718061133
233,Petäjävesi,62.29018132107957,25.22170737013225
234,Kannonkoski,62.96843226954667,25.342176785413947
235,Karstula,62.88554714481083,24.775189813419125
236,Kivijärvi,63.153333521188856,25.056326139348677
237,Kyyjärvi,63.05626132359997,24.55814879046094
238,Luhanka,61.7806727225288,25.698064297496387
239,Saarijärvi,62.71473009537629,25.27619562607906
240,Hankasalmi,62.37956473309403,26.45462092619173
241,Joutsa,61.75827361271342,26.231066734375293
242,Leivonmäki,61.94244250772701,26.128030268479808
243,Toivakka,62.10854219164889,26.075995444198544
244,Kinnula,63.33307934676444,25.031190986534323
245,Pöytyä,60.74422407625137,22.653867779494718
246,Pihtipudas,63.40949288858014,25.586331151419234
247,Kaustinen,63.584498768836475,23.775615443702364
248,Viitasaari,63.101572214370144,25.823883201255388
249,Halsua,63.44719727280592,24.28479194412584
250,Lestijärvi,63.49968840087618,24.69930401191624
251,Perho,63.25636266848938,24.461384855905813
252,Tarvasjoki,60.58513444541172,22.73127626630433
